Wed Feb 17 21:39:40 2021 | 2.23 sec | 302.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:40:09 2021 | 2.14 sec | 290.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:41:35 2021 | 1.75 sec | 237.8 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:42:01 2021 | 2.11 sec | 286.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:43:00 2021 | 1.67 sec | 226.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:43:44 2021 | 2.03 sec | 274.8 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:44:18 2021 | 2.13 sec | 288.4 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:44:57 2021 | 2.22 sec | 301.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:45:39 2021 | 1.48 sec | 200.3 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:46:04 2021 | 1.84 sec | 250.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:46:51 2021 | 1.82 sec | 247.3 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:47:10 2021 | 1.82 sec | 247.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:47:46 2021 | 1.84 sec | 249.6 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:48:09 2021 | 1.75 sec | 236.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:50:38 2021 | 1.88 sec | 254.6 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:51:32 2021 | 3.48 sec | 471.9 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:53:28 2021 | 2.40 sec | 325.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:53:43 2021 | 1.89 sec | 256.5 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 21:54:40 2021 | 1.91 sec | 258.9 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:00:52 2021 | 1.92 sec | 260.8 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:01:17 2021 | 1.99 sec | 269.9 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:01:53 2021 | 2.00 sec | 270.6 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:02:08 2021 | 1.91 sec | 258.4 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
